Title,Pages,date_started,date_read,Book.ID,Author,AdditionalAuthors,AverageRating,OriginalPublicationYear,read_time,MyRating,Gender,Fiction,Childrens,Fantasy,SciFi,Mystery,SelfHelp
1Q84,925,9/3/2019,9/10/2019,10357575,"Murakami, Haruki","Jay Rubin, Philip Gabriel",3.92,2009,7,5,0,1,0,1,1,0,0
A Disorder Peculiar to the Country,256,8/21/2019,8/22/2019,54572,"Kalfus, Ken",NA,3.01,2006,1,4,0,1,0,0,0,0,0
"Alas, Babylon",323,12/21/2019,12/23/2019,38169,"Frank, Pat",NA,4.07,1959,2,5,0,1,0,0,1,0,0
Artemis,305,4/8/2019,4/11/2019,34928122,"Weir, Andy",NA,3.67,2017,3,4,0,1,0,0,1,0,0
"Bird Box (Bird Box, #1)",262,2/7/2019,2/13/2019,18498558,"Malerman, Josh",NA,4.02,2014,6,3,0,1,0,1,0,0,0
"Boundaries: When to Say Yes, How to Say No to Take Control of Your Life",314,4/23/2019,4/26/2019,944267,"Cloud, Henry",John  Townsend,4.2,1992,3,3,0,0,0,0,0,0,1
Cell,449,9/12/2019,9/13/2019,10567,"King, Stephen",NA,3.65,2006,1,4,0,1,0,1,1,0,0
"Children of Virtue and Vengeance (Legacy of Orïsha, #2)",404,12/12/2019,12/15/2019,39122774,"Adeyemi, Tomi",NA,4.06,2019,3,4,1,1,0,1,0,0,0
Cujo,432,8/31/2019,9/2/2019,10603,"King, Stephen",NA,3.71,1981,2,2,0,1,0,1,0,0,0
"Dirk Gently's Holistic Detective Agency (Dirk Gently, #1)",306,7/18/2019,7/21/2019,365,"Adams, Douglas",NA,3.98,1987,3,4,0,1,0,0,1,0,0
"Dorothy and the Wizard in Oz (Oz, #4)",148,10/5/2019,10/6/2019,116597,"Baum, L. Frank",NA,3.77,1908,1,4,0,1,1,1,0,0,0
Elevation,146,6/30/2019,7/1/2019,38355410,"King, Stephen",Mark Edward Geyer,3.67,2018,1,5,0,1,0,1,0,0,0
Empath: A Complete Guide for Developing Your Gift and Finding Your Sense of Self,104,12/23/2019,12/23/2019,36618537,"Dyer, Judy",NA,4.06,NA,0,4,1,0,0,0,0,0,1
"Eric (Discworld, #9; Rincewind #4)",197,8/23/2019,8/25/2019,64218,"Pratchett, Terry",NA,3.75,1990,2,4,0,1,0,1,0,0,0
"Ghastly Gadgets (Cozy Corgi Mysteries, #12)",213,5/28/2019,5/29/2019,44295552,"Abbott, Mildred",NA,4.67,2019,1,4,1,1,0,0,0,1,0
Ghostland: An American History in Haunted Places,320,9/17/2019,9/23/2019,28815491,"Dickey, Colin",NA,3.74,2016,6,4,0,0,0,0,0,0,0
"Glinda of Oz (Oz, #14)",283,11/26/2019,11/29/2019,765300,"Baum, L. Frank",John R. Neill,3.93,1920,3,4,0,1,1,1,0,0,0
"Guards! Guards! (Discworld, #8; City Watch #1)",376,8/6/2019,8/9/2019,64216,"Pratchett, Terry",NA,4.33,1989,3,5,0,1,0,1,0,0,0
Herself Surprised,248,1/27/2019,2/7/2019,376494,"Cary, Joyce",Brad Leithauser,3.85,1941,11,3,0,1,0,0,0,0,0
